source_id;first_name;last_name;email;employment_status;is_active;job_title;job_role;department_name;sub_department_name;unit_name;base_location_country;base_location_state;base_location_city;organization_location_country;organization_location_state;organization_location_city;region;manager_id;job_start_date;job_end_date;company_code;has_managerial_role;travel_country;travel_state;travel_city;trip_start_date;trip_end_date;is_integrated
218979;Alvin;Myers;to@mawibvu.bm;X;false;gusipcad;DIR;bicge;muk;sup;UA;KS;Batuzo;NO;WA;Antejmi;lajjo;594199;21151018;21041120;wyhp;true;AL;NM;Zepjineh;20640222;20750327;false
537717;Ola;Owen;zefawta@kibhe.bh;E;true;cajis;NOBA;sun;ahnaza;jerri;TV;OH;Wartivhe;FR;LA;Vafhufab;uragesoku;885867;20421012;20980320;IONX;true;KI;VA;Unwotgez;20521112;20740810;false
891825;Timothy;Fleming;wucpi@mahalif.aw;X;true;he;6;ic;hijditkol;katridu;SE;CO;Ajacema;UG;AL;Ohrofi;kogduh;283578;20550124;21111225;wQYd;true;GL;NM;Jemkidat;20790123;20371118;true
828835;Tony;Chambers;pitwub@zacfaaga.jm;X;true;situge;2;fom;bub;emodufnir;YT;AK;Ofolida;ET;DE;Nalocaolo;zezakwe;519252;20580502;20950908;saFs;false;AL;IA;Tebennon;20681129;21060807;true
950069;Alex;Goodwin;nazte@casna.mc;E;false;jel;4;haef;wafo;upi;TN;DC;Cutzuju;FJ;MI;Jiswabef;bud;459583;21120826;20610102;hjkJ;false;CZ;OK;Amikada;20971231;20491006;true
833721;Clyde;Guerrero;codur@buwvi.fr;E;false;sowev;7;kucnuz;buw;maoprej;MV;NE;Copivcem;FM;ME;Paruzos;igigu;213697;21130419;20511103;eKTh;true;YE;MS;Kunvakhe;21151229;20840504;false
595681;Bradley;McGuire;ok@moas.lv;X;true;vel;NOBA;joz;jikdus;votpamkez;AI;NY;Cujulze;GN;WY;Kedijpat;pak;959891;20821016;20810824;ttWD;false;SE;MT;Ahisooc;20880409;21101111;true
636740;Mario;Holloway;romdunfa@it.gn;X;true;hok;6;ope;urened;uwtozad;BZ;UT;Wusheziw;UY;UT;Sobsawna;labujov;875150;20930101;20761101;gfHQ;true;IE;PA;Kaddumu;20600605;20810715;false
230508;Chad;Copeland;noked@gonwuprob.cr;E;true;ko;5;fifewobug;woudbaj;ah;MK;NE;Bojusi;LY;WI;Vufipuh;ugosuvvu;151819;20371115;20680926;vRJg;false;DJ;NH;Azcikol;20220525;21220810;false
385590;Cameron;Vargas;maotfo@jel.fk;X;false;apu;3;ovesu;volej;na;KY;MO;Gukisi;NZ;CO;Zuvpulkub;jinka;369086;20621028;20771231;lnSZ;true;NA;TX;Mogsuwa;20230203;20771020;true
